,client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,gendr_v
108,7449147,27.0,330.0,26.5,F,2.0,215247.66,3.0,6.0,2
970,4955883,29.0,349.0,26.0,F,2.0,37122.69,2.0,5.0,2
1138,1330615,23.0,285.0,18.5,M,2.0,35553.33,3.0,6.0,1
1194,4286237,21.0,257.0,17.5,F,2.0,32577.78,5.0,8.0,2
1286,1225744,26.0,321.0,25.5,F,2.0,35739.29,0.0,3.0,2
1840,6435592,23.0,285.0,20.5,F,2.0,33384.66,4.0,7.0,2
2100,7043670,28.0,343.0,22.5,F,3.0,69571.1,1.0,4.0,2
2283,5269888,20.0,243.0,17.5,F,2.0,39631.34,6.0,9.0,2
2291,4230904,23.0,280.0,22.5,M,2.0,54602.13,0.0,3.0,1
2394,9623027,21.0,262.0,19.0,F,2.0,34105.32,4.0,8.0,2
2397,2256055,32.0,386.0,27.0,F,2.0,32657.3,0.0,3.0,2
2410,9489571,27.0,327.0,24.5,M,3.0,151050.3,6.0,9.0,1
2499,4531392,21.0,255.0,20.0,M,3.0,31215.12,2.0,5.0,1
2874,7784210,22.0,274.0,21.5,F,2.0,63103.91,4.0,7.0,2
2948,3332621,27.0,324.0,25.5,F,2.0,45313.34,5.0,8.0,2
2953,7524332,23.0,282.0,20.0,M,3.0,107459.11,4.0,7.0,1
3145,1769222,26.0,318.0,21.5,M,2.0,71205.54000000001,4.0,7.0,1
3400,5391755,27.0,324.0,26.0,F,2.0,34278.11,4.0,7.0,2
3581,3322887,18.0,216.0,17.5,M,2.0,29066.55,1.0,4.0,1
3649,7207836,28.0,337.0,24.0,F,4.0,168481.61,3.0,6.0,2
3678,9278592,51.0,612.0,45.5,F,2.0,24747.93,2.0,5.0,2
4058,1209214,21.0,252.0,19.5,M,2.0,28515.02,1.0,4.0,1
4218,5624999,23.0,283.0,17.5,M,2.0,31821.52,3.0,6.0,1
4308,3256364,22.0,264.0,21.5,M,3.0,37974.98,6.0,9.0,1
4550,6600155,20.0,240.0,19.5,M,2.0,108540.78,6.0,9.0,1
4613,3017374,31.0,378.0,26.5,M,2.0,38323.68,3.0,6.0,1
4797,4491505,26.0,322.0,24.0,M,2.0,27561.47,0.0,3.0,1
4882,4287009,27.0,328.0,22.0,F,2.0,304482.66,6.0,9.0,2
4955,1420912,21.0,253.0,20.5,M,2.0,63028.5,3.0,6.0,1
5125,8737399,26.0,314.0,23.0,M,2.0,78819.84,6.0,9.0,1
5130,6901150,22.0,268.0,19.5,F,2.0,35103.66,0.0,3.0,2
5151,2431873,28.0,339.0,24.0,F,2.0,54281.02,6.0,9.0,2
5236,1399287,21.0,256.0,17.5,M,2.0,42847.33,1.0,4.0,1
5283,495241,21.0,262.0,20.5,M,2.0,29291.43,6.0,9.0,1
5614,3007171,27.0,324.0,24.5,F,2.0,38303.9,4.0,7.0,2
5758,8534657,29.0,352.0,27.5,M,2.0,32477.58,3.0,6.0,1
5765,7718345,37.0,451.0,36.5,M,2.0,31671.92,1.0,4.0,1
